timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-06-16T12:57:38,codecarbon,964d79ab-9d07-41e8-9277-df5e582a14d5,0.5248360633850098,2.8480026859560287e-06,5.42646148892171e-06,42.5,1.0482237580063465,11.880045890808104,6.184170974625482e-06,1.5194456600000708e-07,1.7020734016707215e-06,8.038188942296211e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T12:57:44,codecarbon,99412c93-88ca-4b5c-80b3-ca76cd43e666,0.7566654682159424,4.283631518532148e-06,5.661195995413994e-06,42.5,3.265531217024539,11.880045890808104,8.932856221993764e-06,6.850005480000111e-07,2.4722440135938464e-06,1.2090100783587625e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T13:45:52,codecarbon,6f36fd6b-9ea0-4bde-9d86-a223b176eb9f,0.8821256160736084,5.349018536571881e-06,6.063783251619728e-06,42.5,7.404637568579409,11.880045890808104,1.0402167008982764e-05,1.8102792260000528e-06,2.8845976915668337e-06,1.5097043926549651e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T13:46:07,codecarbon,0f71b079-65c8-4c7c-bc54-e681199038cb,9.978752613067629,5.1983048639517056e-05,5.209373421227309e-06,42.5,0.3505930319964922,11.880045890808104,0.0001177929220928,8.297228859999086e-07,2.809405891388697e-05,0.0001467167038926,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T13:46:13,codecarbon,7c28d880-2e4d-418e-80fe-3be03054fc66,0.529144287109375,2.868158414840061e-06,5.420371125063679e-06,42.5,0.969377642136097,11.880045890808104,6.235034763813019e-06,1.4194455799990124e-07,1.7180970517481833e-06,8.095076373561104e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T13:46:19,codecarbon,eb968cff-c8b4-4539-a807-4bb0a04b0f92,0.713261604309082,3.967481758315043e-06,5.562449645888676e-06,42.5,2.277647391839322,11.880045890808104,8.420449495315552e-06,4.500003600001537e-07,2.32735138121806e-06,1.1197801236533768e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:19:11,codecarbon,eb17b161-7a53-4986-8644-545ac3e1d023,8.102015495300293,4.491528478151067e-05,5.543717462348044e-06,42.5,1.969002371625452,11.880045890808104,9.563697808318668e-05,4.429170209999979e-06,2.670253322918692e-05,0.0001267686815223,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:19:51,codecarbon,df3d0c27-9c89-4b22-9998-754d218724fb,8.11808705329895,4.503902317782048e-05,5.547984750855555e-06,42.5,2.005927362140521,11.880045890808104,9.583852771255708e-05,4.52139250600031e-06,2.675799995231178e-05,0.0001271179201708,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:22:01,codecarbon,c3934772-b48c-4330-aec4-39eff597e42a,0.884174108505249,5.041429370192467e-06,5.701851390689686e-06,42.5,3.720859510611883,11.880045890808104,1.0438166558742524e-05,9.097229500001046e-07,2.881016249204436e-06,1.4228905757947064e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:22:56,codecarbon,500884e1-774b-4b73-b3e9-03943892ed6f,1.3547961711883545,6.963247452549123e-06,5.139701159947431e-06,42.5,3.224120935826876,11.880045890808104,1.5982311136192748e-05,7.877784079998729e-07,2.882946231215631e-06,1.9653035775408253e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:23:32,codecarbon,b6de05d3-f278-4e4e-b7a5-d4b2aa12f447,9.990843534469604,5.203421531118111e-05,5.208190392698759e-06,42.5,0.3343884225905746,11.880045890808104,0.0001179356480638,7.925006340002948e-07,2.813296776036054e-05,0.0001468611164581,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:30:35,codecarbon,02a8ad28-3234-41ab-8068-8e569b9029ea,1.3841919898986816,7.103648144960092e-06,5.131981832578049e-06,42.5,3.6875306633177263,11.880045890808104,1.632918185657925e-05,8.866673759998049e-07,2.833452774877969e-06,2.0049302007457024e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:30:50,codecarbon,034f8c5a-6dc4-4d58-86f5-0fc3d56d6937,10.108303546905518,5.26678859404193e-05,5.210358562742476e-06,42.5,0.3393948969183282,11.880045890808104,0.0001193164151575,8.152784299999064e-07,2.8517891775530297e-05,0.0001486495853631,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:30:55,codecarbon,94b89f78-7ed2-4fe9-8c22-9ea179303d90,0.5399842262268066,2.92930797333266e-06,5.424802857301018e-06,42.5,0.9963122676188368,11.880045890808104,6.374813781844246e-06,1.488890079997564e-07,1.7439618004787389e-06,8.26766459032274e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:31:01,codecarbon,2938946f-0144-4a72-ba9d-e16b727462ff,0.7281038761138916,4.0440249116018245e-06,5.554186764100195e-06,42.5,2.248990120984528,11.880045890808104,8.583871689107683e-06,4.5361147399999163e-07,2.376353097336808e-06,1.1413836260444482e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:38:11,codecarbon,2b87312c-ad62-4214-8248-dd792df95fbe,0.4306952953338623,2.3739894258199115e-06,5.5119929368619286e-06,42.5,1.933598407127626,11.880045890808104,5.084597236580319e-06,2.2944462799981066e-07,1.386294355555151e-06,6.700336220135281e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:38:24,codecarbon,09db9f66-3963-4a33-9579-dd6b7df37b25,8.209625720977783,4.5592088517727904e-05,5.55349172633144e-06,42.5,2.062847101095956,11.880045890808104,9.691919253932106e-05,4.702503761999221e-06,2.705719279753945e-05,0.0001286788890988,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:38:29,codecarbon,643e0c50-227d-444b-85c9-23a1e306b462,0.0770270824432373,4.210260293903578e-07,5.465948028092844e-06,42.5,2.688208275032854,11.880045890808104,9.09347501065996e-07,5.5277821999887705e-08,2.236764965050497e-07,1.1883018195709333e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T14:38:34,codecarbon,eb14264f-2ede-41e2-86a1-c3febe9f0fa6,0.2083714008331298,1.1480462916496429e-06,5.50961546094818e-06,42.5,2.451457839306051,11.880045890808104,2.448129819499122e-06,1.391667779995255e-07,6.52943677655647e-07,3.2402402751542943e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T15:06:16,codecarbon,db381fb2-15dd-431c-81b3-484e284e01f1,0.4358415603637695,2.3963444568362152e-06,5.49820089400409e-06,42.5,1.859805527353484,11.880045890808104,5.134484337435829e-06,2.2361129000010585e-07,1.4053353236158728e-06,6.763430951051808e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T15:06:29,codecarbon,67c25833-041c-4a3f-8362-7aff59b20c6f,8.455617666244507,4.689731621959969e-05,5.546291006843589e-06,42.5,1.993584766106292,11.880045890808104,9.981174651119444e-05,4.680281522000118e-06,2.7870729389280388e-05,0.0001323627574224,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T15:06:34,codecarbon,76f8f090-caa3-4108-9346-bd457ddd6fc8,0.0838639736175537,4.522606649016603e-07,5.392788409527459e-06,42.5,2.453645892405054,11.880045890808104,9.78261729081472e-07,5.444448799999183e-08,2.437520859863677e-07,1.2764583030678313e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T15:06:39,codecarbon,0933988c-45fc-4026-9720-270d70e3c808,0.217705488204956,1.1967043419001685e-06,5.496895607765048e-06,42.5,2.2216449744101565,11.880045890808104,2.559643983840943e-06,1.325001059999248e-07,6.854284299093175e-07,3.3775725197501853e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T15:08:49,codecarbon,75926e33-9dd3-4ade-bbc6-e587fa4988f5,1.3813331127166748,7.111906500073221e-06,5.148581782772295e-06,42.5,3.2711061054389456,11.880045890808104,1.629561136166255e-05,8.197228780000738e-07,2.9572761091380546e-06,2.007261034880068e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T15:09:03,codecarbon,bdbc2e4b-c435-4e3d-9a75-c5f32824f786,9.702937364578249,5.050127093780367e-05,5.204740486336097e-06,42.5,0.3538932270049439,11.880045890808104,0.0001145366994871,8.105562039999181e-07,2.7187286016286785e-05,0.0001425345417073,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T15:09:08,codecarbon,fc424b06-bf99-452b-a00b-0f08e2bfaac7,0.5152347087860107,2.8071172448592413e-06,5.448230092016383e-06,42.5,1.272323617504699,11.880045890808104,6.070832908153535e-06,1.813890340000325e-07,1.67057212985488e-06,7.922794072008448e-06,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T15:09:14,codecarbon,f044d254-064b-4b75-bb95-d4f6129bd5bb,0.7180290222167969,3.991381486788956e-06,5.558802448494658e-06,42.5,2.3155584649351257,11.880045890808104,8.464901480409836e-06,4.605559239998468e-07,2.339798309639226e-06,1.1265255714048907e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
2024-06-16T15:13:02,codecarbon,913d7e09-fc0e-4a9b-851c-8f09529238b5,1.35530686378479,6.957732807743401e-06,5.1336955442795e-06,42.5,3.249915962290137,11.880045890808104,1.6000150475237108e-05,7.869450739995433e-07,2.850375719467782e-06,1.9637471268704435e-05,The Netherlands,NLD,overijssel,,,Windows-11-10.0.22631-SP0,3.12.4,2.4.2,20,13th Gen Intel(R) Core(TM) i7-13700H,1,1 x NVIDIA RTX A500 Laptop GPU,6.8799,52.2203,31.68012237548828,machine,N,1.0
